Value
1.395538926
1.192914963
1.150340557
1.125419259
1.108868599
1.093991995
1.084768534
1.077524424
1.069041014
1.064004183
1.055460453
1.049586415
1.046755552
1.039646506
1.036257982
1.031384706
1.02581501
0.995838583
0.98754549
0.981500745
0.974508226
0.967760921
0.941679001
0.931886733
0.924070597
0.917852342
0.898340881
0.892153621
0.886519194
0.882322192
0.87122339
0.867395937
0.863562465
0.860032618
0.854293644
0.852868378
0.852348864
0.849839985
