SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
-20,0.0924242424242424,0.0928787878787878,0.0919696969696969,0.0943939393939393,0.0928787878787878,0.0937878787878787,0.0925757575757575,0.0939393939393939,0.0933333333333333,0.0963636363636363,0.0931818181818181,0.0965151515151515,0.0981818181818181,0.096060606060606,0.0942424242424242,0.0971212121212121,0.0972727272727272,0.0974242424242424,0.0978787878787878,0.0987878787878787,0.0971212121212121,0.101060606060606,0.0989393939393939,0.1021212121212121,0.1037878787878787,0.1003030303030303,0.103030303030303,0.1071212121212121,0.1040909090909091,0.1069696969696969,0.1037878787878787,0.109090909090909,0.1063636363636363,0.1087878787878788,0.1096969696969697,0.1109090909090909,0.1112121212121212,0.10757575757575757
-18,0.0913636363636363,0.094090909090909,0.0953030303030303,0.0978787878787878,0.0962121212121212,0.096060606060606,0.0969696969696969,0.0983333333333333,0.0969696969696969,0.0965151515151515,0.098030303030303,0.0986363636363636,0.0966666666666666,0.099090909090909,0.0981818181818181,0.1018181818181818,0.0981818181818181,0.1,0.1031818181818181,0.1018181818181818,0.1,0.1013636363636363,0.1051515151515151,0.1028787878787878,0.108030303030303,0.1056060606060606,0.1068181818181818,0.1103030303030303,0.1101515151515151,0.1113636363636363,0.1137878787878787,0.1118181818181818,0.114090909090909,0.1171212121212121,0.1157575757575757,0.1131818181818181,0.1159090909090909,0.11621212121212121
-16,0.094090909090909,0.0974242424242424,0.0992424242424242,0.096060606060606,0.0969696969696969,0.1027272727272727,0.0992424242424242,0.1016666666666666,0.1012121212121212,0.1018181818181818,0.1022727272727272,0.1034848484848484,0.1024242424242424,0.1042424242424242,0.1054545454545454,0.1066666666666666,0.1066666666666666,0.1084848484848484,0.1093939393939393,0.1124242424242424,0.1113636363636363,0.1125757575757575,0.1143939393939394,0.1154545454545454,0.1204545454545454,0.1184848484848484,0.1193939393939394,0.1274242424242424,0.1251515151515151,0.128030303030303,0.1268181818181818,0.1336363636363636,0.1319696969696969,0.1322727272727272,0.1296969696969697,0.1316666666666666,0.1359090909090909,0.13303030303030303
-14,0.1045454545454545,0.1231818181818181,0.124090909090909,0.1254545454545454,0.1337878787878788,0.1321212121212121,0.1316666666666666,0.1309090909090909,0.1321212121212121,0.1321212121212121,0.1331818181818181,0.1351515151515151,0.1316666666666666,0.135,0.1342424242424242,0.1404545454545454,0.1406060606060606,0.1384848484848485,0.1404545454545454,0.1418181818181818,0.14,0.1484848484848485,0.154090909090909,0.1519696969696969,0.1518181818181818,0.1563636363636363,0.1531818181818181,0.1616666666666666,0.1619696969696969,0.1640909090909091,0.1640909090909091,0.1692424242424242,0.168030303030303,0.1663636363636363,0.1684848484848485,0.1696969696969697,0.1695454545454545,0.1731818181818182
-12,0.1395454545454545,0.1612121212121212,0.1712121212121212,0.1727272727272727,0.1718181818181818,0.1677272727272727,0.1739393939393939,0.1745454545454545,0.1737878787878788,0.1736363636363636,0.1825757575757575,0.1789393939393939,0.1843939393939394,0.1863636363636363,0.1862121212121212,0.1957575757575757,0.1962121212121212,0.1978787878787878,0.1975757575757575,0.1990909090909091,0.2,0.2078787878787878,0.2077272727272727,0.2075757575757575,0.2043939393939394,0.2156060606060606,0.2186363636363636,0.2187878787878787,0.2224242424242424,0.2187878787878787,0.2234848484848484,0.2284848484848484,0.2281818181818181,0.2321212121212121,0.2333333333333333,0.2316666666666666,0.2372727272727272,0.23333333333333334
-10,0.2131818181818182,0.2456060606060606,0.2553030303030303,0.2513636363636363,0.2506060606060606,0.2531818181818182,0.2489393939393939,0.2637878787878788,0.2657575757575757,0.2592424242424242,0.2609090909090909,0.2572727272727272,0.2607575757575757,0.2612121212121212,0.2686363636363636,0.273030303030303,0.2781818181818182,0.28,0.2848484848484848,0.286060606060606,0.2863636363636364,0.2943939393939394,0.2966666666666667,0.2959090909090909,0.303030303030303,0.306060606060606,0.3072727272727272,0.3146969696969697,0.3195454545454545,0.3183333333333333,0.3307575757575757,0.328030303030303,0.3336363636363636,0.3298484848484848,0.3343939393939394,0.3389393939393939,0.336969696969697,0.3339393939393939
-8,0.2993939393939394,0.3533333333333333,0.3615151515151515,0.3743939393939394,0.3822727272727272,0.3812121212121212,0.393030303030303,0.3940909090909091,0.4016666666666666,0.4004545454545454,0.3983333333333333,0.3989393939393939,0.4022727272727273,0.3990909090909091,0.4051515151515151,0.4177272727272727,0.414090909090909,0.4212121212121212,0.4248484848484848,0.4240909090909091,0.4321212121212121,0.4413636363636363,0.4372727272727272,0.4462121212121212,0.4507575757575757,0.4509090909090909,0.4568181818181818,0.4618181818181818,0.4657575757575757,0.4671212121212121,0.4766666666666667,0.4796969696969697,0.4789393939393939,0.488030303030303,0.4833333333333333,0.4851515151515151,0.4928787878787878,0.4871212121212121
-6,0.4222727272727273,0.4901515151515151,0.5178787878787878,0.5180303030303031,0.5357575757575758,0.5442424242424242,0.558030303030303,0.5677272727272727,0.5716666666666667,0.5757575757575758,0.5774242424242424,0.5828787878787879,0.5940909090909091,0.5912121212121212,0.5927272727272728,0.6054545454545455,0.6048484848484849,0.6151515151515151,0.6228787878787879,0.6156060606060606,0.6216666666666667,0.6321212121212121,0.6337878787878788,0.634090909090909,0.6451515151515151,0.64,0.6474242424242425,0.6596969696969697,0.6583333333333333,0.6633333333333333,0.6603030303030303,0.6706060606060606,0.6707575757575758,0.6727272727272727,0.6721212121212121,0.6756060606060607,0.676969696969697,0.6765151515151515
-4,0.5371212121212121,0.6292424242424243,0.6372727272727273,0.6509090909090909,0.6621212121212121,0.6786363636363636,0.681969696969697,0.683030303030303,0.6912121212121212,0.6995454545454546,0.7125757575757575,0.7172727272727273,0.7234848484848485,0.7213636363636363,0.7242424242424242,0.7506060606060606,0.7472727272727273,0.7506060606060606,0.7566666666666667,0.7622727272727273,0.7584848484848485,0.7795454545454545,0.7783333333333333,0.776969696969697,0.7807575757575758,0.7863636363636364,0.7906060606060606,0.7957575757575758,0.7953030303030303,0.7993939393939394,0.8115151515151515,0.8077272727272727,0.813030303030303,0.8125757575757576,0.8118181818181818,0.8146969696969697,0.8193939393939393,0.815
-2,0.6193939393939394,0.7109090909090909,0.7304545454545455,0.7492424242424243,0.7666666666666667,0.775,0.785,0.7974242424242424,0.8077272727272727,0.806969696969697,0.8184848484848485,0.8262121212121212,0.8268181818181818,0.8301515151515152,0.8401515151515152,0.8498484848484849,0.8545454545454545,0.8522727272727273,0.8593939393939394,0.8628787878787879,0.8572727272727273,0.8675757575757576,0.8722727272727273,0.8698484848484849,0.8745454545454545,0.8727272727272727,0.8724242424242424,0.8756060606060606,0.8804545454545455,0.8824242424242424,0.8821212121212121,0.8871212121212121,0.8868181818181818,0.8872727272727273,0.8889393939393939,0.8875757575757576,0.8909090909090909,0.8889393939393939
