SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
-20,0.1040555555555555,0.1061944444444444,0.1045277777777777,0.1078611111111111,0.1053888888888888,0.1056944444444444,0.1056666666666666,0.1082222222222222,0.10625,0.1050555555555555,0.1037222222222222,0.1073333333333333,0.10625,0.1065555555555555,0.1079722222222222,0.1074166666666666,0.1083611111111111,0.1120555555555555,0.1108888888888888,0.1106388888888888,0.1135,0.1115555555555555,0.1137777777777777,0.1186111111111111,0.1176666666666666,0.1182777777777777,0.1176111111111111,0.1222222222222222,0.12294444444444444
-18,0.1078333333333333,0.109,0.1104444444444444,0.1093055555555555,0.1093055555555555,0.1108055555555555,0.1094722222222222,0.1121944444444444,0.1118333333333333,0.1097777777777777,0.1110833333333333,0.1117777777777777,0.1108055555555555,0.1135,0.1131111111111111,0.11275,0.1124722222222222,0.1136388888888888,0.1165,0.1162222222222222,0.1181388888888888,0.1173611111111111,0.1187777777777777,0.1228611111111111,0.1223888888888889,0.1225555555555555,0.1261944444444444,0.1283888888888888,0.12777777777777777
-16,0.1162777777777777,0.1198611111111111,0.1236388888888889,0.1214722222222222,0.1225555555555555,0.1217222222222222,0.1247777777777777,0.124,0.1259444444444444,0.1249444444444444,0.1267777777777777,0.1265555555555555,0.1264166666666666,0.1274166666666666,0.1271666666666666,0.1261111111111111,0.1269166666666666,0.1307222222222222,0.1331111111111111,0.1334722222222222,0.1325555555555555,0.1325555555555555,0.1344722222222222,0.1387222222222222,0.1400833333333333,0.1412222222222222,0.1453055555555555,0.1451111111111111,0.14802777777777779
-14,0.1383055555555555,0.1491111111111111,0.1535555555555555,0.1571944444444444,0.1581944444444444,0.1593611111111111,0.1616666666666666,0.1606944444444444,0.1642222222222222,0.16175,0.1632777777777777,0.1620833333333333,0.1648055555555555,0.1646111111111111,0.165,0.1670277777777777,0.1718055555555555,0.1705555555555555,0.1733888888888889,0.1736388888888889,0.1708611111111111,0.1733333333333333,0.1771111111111111,0.1800277777777778,0.1830833333333333,0.1826388888888888,0.1836944444444444,0.1874444444444444,0.18825
-12,0.1937777777777777,0.2080555555555555,0.2069444444444444,0.2120833333333333,0.2193611111111111,0.2139444444444444,0.2214444444444444,0.2224444444444444,0.2186111111111111,0.2222777777777777,0.2180555555555555,0.2213333333333333,0.2211111111111111,0.2229166666666666,0.2224444444444444,0.2241388888888889,0.2199444444444444,0.2281388888888889,0.2309722222222222,0.2297222222222222,0.2312222222222222,0.2333333333333333,0.2361111111111111,0.2431666666666666,0.2390277777777777,0.2419444444444444,0.2443611111111111,0.2476388888888888,0.24780555555555556
-10,0.27925,0.2992777777777777,0.2903333333333333,0.2978611111111111,0.3015277777777778,0.3029444444444444,0.3046944444444444,0.3036944444444444,0.305,0.3093611111111111,0.3115555555555555,0.3119444444444444,0.31275,0.31425,0.3103333333333333,0.3131111111111111,0.3184166666666667,0.3232222222222222,0.3280833333333333,0.3267777777777778,0.3271666666666666,0.3308333333333333,0.3318333333333333,0.3359444444444444,0.3395,0.341,0.3419166666666666,0.34525,0.3473333333333333
-8,0.3663888888888889,0.4006388888888889,0.4093333333333333,0.4118888888888889,0.4107777777777778,0.42125,0.4220555555555556,0.4258888888888889,0.42975,0.4323333333333333,0.4351388888888889,0.4344444444444444,0.4398333333333333,0.4396111111111111,0.4404444444444444,0.4415,0.4437222222222222,0.4533611111111111,0.4588055555555556,0.4620277777777777,0.462,0.46175,0.4616666666666666,0.4708611111111111,0.4779722222222222,0.4746111111111111,0.4761944444444444,0.4843888888888888,0.4847222222222222
-6,0.4754444444444444,0.5254722222222222,0.5524722222222223,0.5614722222222223,0.5705,0.5728055555555556,0.5736111111111111,0.5801111111111111,0.5826944444444444,0.5857222222222223,0.5895277777777778,0.58725,0.5911666666666666,0.59375,0.6001666666666666,0.6017222222222223,0.6003055555555555,0.6127777777777778,0.6156388888888888,0.6222777777777778,0.6188333333333333,0.6223611111111111,0.6257777777777778,0.6389444444444444,0.6365555555555555,0.6408888888888888,0.6409444444444444,0.6463611111111112,0.6498055555555555
-4,0.6095,0.6618611111111111,0.6936666666666667,0.7129444444444445,0.7246111111111111,0.7294722222222222,0.7325833333333334,0.7358333333333333,0.7392777777777778,0.7428611111111111,0.74825,0.74775,0.7515277777777778,0.7536388888888889,0.7551944444444444,0.7552777777777778,0.7604722222222222,0.7692777777777777,0.7759166666666667,0.7741388888888889,0.7755277777777778,0.77975,0.7799166666666667,0.7871666666666667,0.7921944444444444,0.7925277777777778,0.7944722222222222,0.7968611111111111,0.7981944444444444
-2,0.7043611111111111,0.7717777777777778,0.8146111111111111,0.8317222222222223,0.8433888888888889,0.8458888888888889,0.8488055555555556,0.8547222222222223,0.8552777777777778,0.8598611111111111,0.8621944444444445,0.86275,0.8635,0.8668055555555556,0.86525,0.8686111111111111,0.8708333333333333,0.87875,0.87925,0.8797777777777778,0.8831111111111111,0.88225,0.8815555555555555,0.8878888888888888,0.8888888888888888,0.8883611111111112,0.8908333333333334,0.8939444444444444,0.8937777777777778
0,0.7582777777777778,0.8308333333333333,0.8789444444444444,0.8967222222222222,0.9016666666666666,0.9047222222222222,0.9073055555555556,0.9080277777777778,0.9105555555555556,0.9115277777777778,0.9139722222222222,0.9141388888888888,0.9139166666666668,0.9155,0.9158888888888888,0.9168055555555557,0.9162222222222224,0.9199722222222222,0.9194444444444444,0.9201388888888888,0.92,0.9213333333333332,0.92225,0.9225,0.9235,0.9235277777777776,0.9236944444444444,0.9245555555555556,0.923
2,0.7783611111111111,0.8469444444444445,0.8978611111111111,0.9136388888888888,0.91825,0.9213611111111112,0.9225833333333332,0.9246388888888888,0.9238333333333332,0.9255833333333332,0.9239166666666668,0.9255277777777776,0.9264722222222224,0.92675,0.9274722222222224,0.9280277777777778,0.9280555555555556,0.9308611111111113,0.9299166666666666,0.93025,0.9303055555555556,0.9302777777777778,0.9305277777777776,0.9316111111111112,0.9313611111111112,0.9308888888888888,0.9318611111111113,0.9322222222222222,0.93225
4,0.7884166666666667,0.8520277777777778,0.9037777777777778,0.9201111111111112,0.9248055555555555,0.9264444444444444,0.9286111111111112,0.92875,0.9291666666666668,0.9299722222222222,0.9304444444444444,0.9295277777777776,0.9303888888888888,0.9293333333333332,0.9311388888888888,0.93125,0.9305,0.9327777777777778,0.9325,0.9324722222222224,0.9326388888888888,0.9329722222222222,0.9326111111111112,0.9332777777777778,0.9335833333333332,0.9340833333333334,0.9342777777777778,0.9345833333333332,0.9344722222222223
6,0.7905277777777778,0.8551111111111112,0.9053333333333332,0.9232777777777778,0.9277222222222222,0.9287222222222222,0.9295555555555556,0.9305833333333332,0.9308333333333332,0.9313611111111112,0.9318333333333332,0.9330277777777778,0.9319444444444444,0.9319722222222222,0.9331388888888889,0.9329166666666666,0.9329722222222222,0.9345,0.9342222222222222,0.9350277777777778,0.9351388888888889,0.9349722222222222,0.9350555555555556,0.9356111111111112,0.936,0.9356666666666666,0.9356388888888888,0.9362222222222222,0.9361666666666667
8,0.7881388888888889,0.8570833333333333,0.9082777777777776,0.9240277777777778,0.9289722222222222,0.9303333333333332,0.93125,0.9323333333333332,0.9330277777777778,0.93325,0.9329444444444444,0.9340833333333334,0.9341944444444444,0.9345833333333332,0.9338888888888888,0.9343333333333332,0.9350555555555556,0.9353333333333332,0.9348888888888888,0.9358611111111113,0.93625,0.9361666666666668,0.9362777777777778,0.9365277777777776,0.9358888888888888,0.9365277777777776,0.937,0.9366666666666666,0.9363333333333334
10,0.7933888888888889,0.8567777777777777,0.9093333333333332,0.9266666666666666,0.9310555555555556,0.9325277777777776,0.9336388888888888,0.9335277777777776,0.9335,0.9353055555555556,0.9360555555555556,0.9356944444444444,0.9368055555555556,0.936,0.9366944444444444,0.9364166666666668,0.9354444444444444,0.9382222222222222,0.9371944444444444,0.9373888888888888,0.9377777777777778,0.9369722222222222,0.9386111111111112,0.9384444444444444,0.9386944444444444,0.9384166666666668,0.93825,0.9388333333333332,0.9386388888888889
12,0.7888611111111111,0.857,0.9091944444444444,0.92575,0.9301388888888888,0.9315,0.9336944444444444,0.9321111111111112,0.9346388888888888,0.9348333333333332,0.9343055555555556,0.9336944444444444,0.9339722222222222,0.9349166666666666,0.9355555555555556,0.934,0.9362777777777778,0.9367777777777778,0.9368611111111113,0.9378611111111111,0.93675,0.9371111111111112,0.9370833333333334,0.9377777777777778,0.9374722222222224,0.9374166666666668,0.9368333333333332,0.9374722222222224,0.9370555555555555
14,0.7895277777777778,0.8564166666666667,0.9081666666666668,0.9250833333333334,0.9288888888888888,0.9313611111111112,0.9316111111111112,0.9334166666666668,0.9343055555555556,0.9339722222222222,0.9340833333333334,0.9347777777777778,0.9347777777777778,0.9354166666666668,0.9346666666666666,0.9349166666666666,0.9373333333333334,0.9369722222222222,0.9371944444444444,0.9372222222222222,0.9389444444444444,0.9375833333333332,0.9371666666666668,0.9380277777777778,0.9396388888888888,0.9385555555555556,0.9395555555555556,0.9396944444444444,0.9391666666666667
