SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-20,0.10525,0.1061388888888889,0.1056944444444444,0.1051666666666666,0.1071666666666666,0.1053888888888888,0.1055833333333333,0.1069722222222222,0.1051944444444444,0.1068611111111111,0.1070833333333333,0.1089444444444444,0.1081944444444444,0.1086111111111111,0.1111944444444444,0.1066111111111111,0.1096388888888888,0.1113611111111111,0.1160277777777777,0.1158333333333333,0.1178055555555555,0.1186388888888888,0.123,0.123,0.1228888888888889,0.12525,0.1278055555555555,0.1284166666666666,0.1295277777777777,0.1311944444444444,0.1324166666666666,0.1351388888888889
-18,0.1071944444444444,0.1096944444444444,0.1106111111111111,0.1086111111111111,0.1112777777777777,0.1118333333333333,0.1103611111111111,0.1131944444444444,0.1109722222222222,0.1131944444444444,0.1121111111111111,0.1130555555555555,0.1121111111111111,0.1156944444444444,0.1131111111111111,0.1153611111111111,0.1156666666666666,0.11725,0.1193333333333333,0.1216944444444444,0.1224166666666666,0.1223611111111111,0.1256111111111111,0.1285555555555555,0.1307222222222222,0.1312222222222222,0.1342222222222222,0.1364722222222222,0.1386111111111111,0.1368333333333333,0.1407777777777777,0.14127777777777778
-16,0.1188888888888888,0.1250555555555555,0.1246111111111111,0.1233055555555555,0.1218333333333333,0.1229722222222222,0.1261388888888888,0.1250277777777777,0.1239166666666666,0.1262222222222222,0.1284722222222222,0.1267777777777777,0.1271666666666666,0.1281666666666666,0.1298888888888889,0.1301111111111111,0.1300277777777777,0.13475,0.1353611111111111,0.1386944444444444,0.1399722222222222,0.1419166666666666,0.1438888888888889,0.1477777777777777,0.1484166666666666,0.1503888888888888,0.1546388888888888,0.1555,0.1568333333333333,0.1590833333333333,0.1611666666666666,0.16319444444444445
-14,0.1406111111111111,0.1540555555555555,0.1606944444444444,0.1585277777777777,0.1566388888888888,0.1563055555555555,0.1580277777777777,0.1584444444444444,0.1601944444444444,0.1610555555555555,0.1633888888888889,0.164,0.1638333333333333,0.1638888888888889,0.1668888888888889,0.1690555555555555,0.16575,0.1716666666666666,0.1753055555555555,0.1786388888888889,0.1775555555555555,0.1783055555555555,0.185,0.1848611111111111,0.1908055555555555,0.1888611111111111,0.1940277777777777,0.1945555555555555,0.1975277777777777,0.1975833333333333,0.2001111111111111,0.20094444444444445
-12,0.1910277777777777,0.208,0.212,0.213,0.2126944444444444,0.2156111111111111,0.2143611111111111,0.2162777777777778,0.2160833333333333,0.2170277777777777,0.2218611111111111,0.2173055555555555,0.2220277777777777,0.2226666666666666,0.2253611111111111,0.2218888888888888,0.2230277777777777,0.2291111111111111,0.2337777777777777,0.2354444444444444,0.2374444444444444,0.2386944444444444,0.2427222222222222,0.2476666666666666,0.2451388888888888,0.2473611111111111,0.2539444444444444,0.2549166666666667,0.2548611111111111,0.25375,0.2589166666666667,0.2597777777777778
-10,0.2728055555555556,0.2881944444444444,0.2929166666666666,0.2979166666666666,0.3040277777777778,0.3083055555555555,0.3099166666666667,0.3093055555555555,0.3084722222222222,0.3154444444444444,0.31525,0.3141944444444444,0.318,0.3199166666666667,0.3215555555555555,0.3211666666666666,0.3249166666666667,0.3323888888888889,0.335,0.3380277777777777,0.3413611111111111,0.3405555555555555,0.3491388888888889,0.3525555555555555,0.3549444444444444,0.3586111111111111,0.36075,0.3619722222222222,0.3654444444444444,0.3653611111111111,0.3680833333333333,0.36916666666666664
-8,0.3639722222222222,0.3924444444444444,0.3986666666666666,0.4040833333333333,0.4124722222222222,0.4169722222222222,0.4229722222222222,0.4238333333333333,0.4276944444444444,0.4276111111111111,0.4283611111111111,0.4315555555555556,0.4364722222222222,0.4376388888888889,0.4343888888888889,0.4432222222222222,0.4439166666666667,0.4544444444444444,0.4598055555555556,0.4608888888888889,0.4654722222222222,0.4664722222222222,0.4757222222222222,0.4803611111111111,0.4826666666666667,0.48225,0.4890833333333333,0.49225,0.4924166666666666,0.4948888888888889,0.498,0.4983611111111111
-6,0.4870833333333333,0.5390555555555555,0.5505277777777777,0.5573333333333333,0.563,0.5636388888888889,0.5736388888888889,0.5729444444444445,0.5793888888888888,0.58125,0.5841944444444445,0.5887777777777777,0.5921944444444445,0.5976666666666667,0.5987777777777777,0.6015,0.6046944444444444,0.6168055555555556,0.6231111111111111,0.6278611111111111,0.6276388888888889,0.6312222222222222,0.6463611111111112,0.6468611111111111,0.6512222222222223,0.6540277777777778,0.6658333333333334,0.6670277777777778,0.6667222222222222,0.6676666666666666,0.6735555555555556,0.6736944444444445
-4,0.6125555555555555,0.6820277777777778,0.7058055555555556,0.7174722222222222,0.7269444444444444,0.7328611111111111,0.7357222222222223,0.7408888888888889,0.7439722222222223,0.7468888888888889,0.7500277777777777,0.7535833333333334,0.7575,0.7583611111111112,0.7606388888888889,0.7633888888888889,0.7665,0.7813333333333333,0.7831388888888889,0.78625,0.7881111111111111,0.7923333333333333,0.8004722222222223,0.8056666666666666,0.8083333333333333,0.8090833333333334,0.8143333333333334,0.8171944444444444,0.8192222222222222,0.8195555555555556,0.8238611111111112,0.8236666666666667
-2,0.7168333333333333,0.8079444444444445,0.8316388888888889,0.8439722222222222,0.85025,0.8560833333333333,0.8603888888888889,0.8599722222222222,0.8675,0.8643055555555555,0.8679722222222223,0.8691944444444445,0.8725833333333334,0.8736388888888889,0.8733055555555556,0.8763611111111111,0.8791944444444444,0.8839166666666667,0.8861111111111111,0.8888888888888888,0.8890833333333333,0.8889722222222223,0.8958333333333334,0.8973333333333333,0.8973333333333333,0.8965833333333333,0.9011666666666668,0.9020277777777778,0.90275,0.9013333333333332,0.9053055555555556,0.9053055555555556
