frequency,mean,std,count
0.0,0.5406557115155415,0.06431047184071934,5
0.001953125,0.5428075177928082,0.06281857194149168,5
0.00390625,0.5462685111817688,0.05973539332809632,5
0.005859375,0.549178925648438,0.05605358386621907,5
0.0078125,0.5509184355646846,0.05223720436780399,5
0.009765625,0.5513470198349926,0.048596804099711025,5
0.01171875,0.5505642126474043,0.04534003767489202,5
0.013671875,0.5488461073580817,0.0425728768578751,5
0.015625,0.5466494675903361,0.0402124903355013,5
0.017578125,0.544749261098354,0.03767485060785379,5
0.01953125,0.5439170595972911,0.034379945574332584,5
0.021484375,0.543992654432874,0.030908838136718034,5
0.0234375,0.5451136423307748,0.027174654835504845,5
0.025390625,0.5472114198691373,0.02310980168426045,5
0.02734375,0.5498652211600499,0.01913764992116873,5
0.029296875,0.5531346354046028,0.01548592344555968,5
0.03125,0.5573671711389308,0.012388485695811097,5
0.033203125,0.5622251271274779,0.010642005818821038,5
0.03515625,0.566784881663558,0.010373611377717662,5
0.037109375,0.5704616067502333,0.011046178569629363,5
0.0390625,0.5730832170011245,0.012065567454533507,5
0.041015625,0.5752130436342135,0.013132652026591772,5
0.04296875,0.577675824336386,0.014865907504943746,5
0.044921875,0.5797030135919207,0.017799984004658854,5
0.046875,0.580405871374651,0.021550083384850822,5
0.048828125,0.5795073480142843,0.025632299542386855,5
0.05078125,0.5767742260406699,0.029679115728999513,5
0.052734375,0.5720937875661589,0.033314626919620775,5
0.0546875,0.5655466520320112,0.03620273824902256,5
0.056640625,0.5573300241103132,0.038168408206350056,5
0.05859375,0.5476788939942467,0.03924908967730912,5
0.060546875,0.5368458407376572,0.0396394858289975,5
0.0625,0.5252390035342935,0.03971238090275615,5
0.064453125,0.51356812745515,0.039976454078836904,5
0.06640625,0.5023784590615248,0.04017611479241268,5
0.068359375,0.4924117817339604,0.03986307808734965,5
0.0703125,0.484373106179729,0.03867979131092507,5
0.072265625,0.47906532660630585,0.03639626942817466,5
0.07421875,0.47679799513794485,0.034912277438966806,5
0.076171875,0.4773078729222271,0.035228282213752626,5
0.078125,0.480093841266721,0.03653443768696449,5
0.080078125,0.48465801356400656,0.03802482058498953,5
0.08203125,0.4903815415149393,0.03917116782042874,5
0.083984375,0.4966421446580724,0.03972975966942395,5
0.0859375,0.5029514465268954,0.04005558073851485,5
0.087890625,0.5088046554041398,0.0405687199500201,5
0.08984375,0.5136418834950527,0.04130185273608145,5
0.091796875,0.516981160190133,0.04201921525233533,5
0.09375,0.5185888629046482,0.04251719802221231,5
0.095703125,0.5184554920975201,0.042685398966178456,5
0.09765625,0.5167134797698878,0.042416280588793896,5
0.099609375,0.5136075275547619,0.04157890698347276,5
0.1015625,0.5096198576992551,0.03993752276979324,5
0.103515625,0.5052831557945734,0.03748202763936174,5
0.10546875,0.5003711853277671,0.03500533143695861,5
0.107421875,0.4947758755124836,0.03268238005186929,5
0.109375,0.48837963461279166,0.03056362987216717,5
0.111328125,0.4806511189734165,0.02873203961163697,5
0.11328125,0.4713495648551599,0.027247787995714774,5
0.115234375,0.4607218796659745,0.025595408823455706,5
0.1171875,0.44852643952982174,0.023684750565674515,5
0.119140625,0.4347479298751386,0.02156736734045873,5
0.12109375,0.4196109183663756,0.019405877914815937,5
0.123046875,0.4034363670277899,0.017513658399977438,5
0.125,0.38665582582564506,0.016279948984466,5
0.126953125,0.36982457206971536,0.016066938590056742,5
