dataset,variant,n,overall_mean,overall_std,overall_mean_pm_std,low_snr_mean,low_snr_std,low_snr_mean_pm_std,high_snr_mean,high_snr_std,high_snr_mean_pm_std,params,raw_flops,basis_ops,flops,delta_vs_full_pp
2016.10a,none,5,0.6295909090909091,0.0013373411699931744,62.96 ± 0.13,0.3901074380165289,0.0006563617424648841,39.01 ± 0.07,0.9200727272727273,0.002865187170266724,92.01 ± 0.29,110927,27543936,0,27543936,-0.22227272727272096
2016.10a,conv,5,0.6336136363636363,0.0035825924982147506,63.36 ± 0.36,0.3919338842975206,0.003992834747615725,39.19 ± 0.40,0.9268454545454545,0.003949918923741631,92.68 ± 0.39,120527,29983104,0,29983104,0.18000000000000238
2016.10a,base_only,5,0.6319681818181818,0.0007037385408547,63.20 ± 0.07,0.3939090909090909,0.0019157249408618697,39.39 ± 0.19,0.9212272727272728,0.0026463369350016785,92.12 ± 0.26,120527,29983104,0,29983104,0.015454545454551827
2016.10a,rbf_only,5,0.6314545454545455,0.0018068539161703468,63.15 ± 0.18,0.39132231404958673,0.0037243992148594035,39.13 ± 0.37,0.922490909090909,0.0032568110448439563,92.25 ± 0.33,126483,31506816,5120,31511936,-0.0359090909090809
2016.10a,bspline,5,0.620959090909091,0.0004814213631795171,62.10 ± 0.05,0.3825867768595041,0.0021907842319247926,38.26 ± 0.22,0.9096818181818183,0.0027380468999719434,90.97 ± 0.27,134416,33538432,72704,33611136,-1.085454545454534
2016.10a,full,5,0.6318136363636363,0.0022373034795271207,63.18 ± 0.22,0.3910826446280991,0.0022743044865364192,39.11 ± 0.23,0.9236181818181818,0.004450322673787471,92.36 ± 0.45,128467,32014720,5120,32019840,0.0
2016.10b,conv,5,0.6517975,0.0005785338269184402,65.18 ± 0.06,0.41821515151515143,0.0011369771071348554,41.82 ± 0.11,0.93581,0.0004077121124846065,93.58 ± 0.04,120462,29982976,0,29982976,-0.3326666666666589
2016.10b,rbf_only,5,0.6558341666666666,0.0009031839898074141,65.58 ± 0.09,0.4238757575757576,0.001468902081198943,42.39 ± 0.15,0.9378883333333332,0.000374471850299357,93.79 ± 0.04,126418,31506688,5120,31511808,0.07099999999999884
2016.10b,full,5,0.6551241666666666,0.0013430485895487671,65.51 ± 0.13,0.4227833333333334,0.002157060448762235,42.28 ± 0.22,0.9375416666666668,0.000500763306252521,93.75 ± 0.05,128402,32014592,5120,32019712,0.0
