dataset,variant,params,flops
2016.10a,conv_k3,118735,29524352
2016.10a,conv_k7,118991,29589888
2016.10a,conv_k15,119503,29720960
2016.10a,conv_k31,120527,29983104
2016.10a,conv_k51,121807,30310784
2016.10b,conv_k3,118670,29524224
2016.10b,conv_k7,118926,29589760
2016.10b,conv_k15,119438,29720832
2016.10b,conv_k31,120462,29982976
2016.10b,conv_k51,121742,30310656
