dataset,variant,seed,overall,low_snr,high_snr,run_dir
2016.10b,conv_k51,5,0.6512458333333333,0.4189318181818182,0.9332916666666666,logs/model_2016.10b_60_1024_0.001_IQFormerLite_lkf-conv_k51_seed5
2016.10a,conv_k31,1,0.6333409090909091,0.392685950413223,0.925318181818182,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-conv_seed1
2016.10a,conv_k31,2,0.6305,0.3868595041322313,0.9263636363636362,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-conv_seed2
2016.10a,conv_k31,3,0.6396363636363637,0.3978512396694214,0.9335909090909092,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-conv_seed3
2016.10a,conv_k31,4,0.6313409090909091,0.3903719008264463,0.9232272727272728,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-conv_seed4
2016.10a,conv_k31,5,0.63325,0.3919008264462809,0.9257272727272728,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-conv_seed5
2016.10b,conv_k31,1,0.6516333333333333,0.4179242424242424,0.9358333333333332,logs/model_2016.10b_60_1024_0.001_IQFormerLite_lkf-conv_seed1
2016.10b,conv_k31,2,0.65155,0.4180530303030302,0.9352333333333334,logs/model_2016.10b_60_1024_0.001_IQFormerLite_lkf-conv_seed2
2016.10b,conv_k31,3,0.6520791666666667,0.4183333333333333,0.93635,logs/model_2016.10b_60_1024_0.001_IQFormerLite_lkf-conv_seed3
2016.10b,conv_k31,4,0.652625,0.4199621212121212,0.935675,logs/model_2016.10b_60_1024_0.001_IQFormerLite_lkf-conv_seed4
2016.10b,conv_k31,5,0.6511,0.4168030303030303,0.9359583333333332,logs/model_2016.10b_60_1024_0.001_IQFormerLite_lkf-conv_seed5
2016.10a,full_lkf_k31,1,0.6305,0.3907024793388429,0.9208636363636364,results/table2_5seed_20260626/iqformer_vs_lite/raw_runs/2016.10a/IQFormerLite/seed1
2016.10a,full_lkf_k31,2,0.6309318181818182,0.3900826446280991,0.9226818181818182,results/table2_5seed_20260626/iqformer_vs_lite/raw_runs/2016.10a/IQFormerLite/seed2
2016.10a,full_lkf_k31,3,0.6324090909090909,0.3881818181818181,0.9286363636363636,results/table2_5seed_20260626/iqformer_vs_lite/raw_runs/2016.10a/IQFormerLite/seed3
2016.10a,full_lkf_k31,4,0.6354318181818182,0.3942148760330578,0.9276818181818184,results/table2_5seed_20260626/iqformer_vs_lite/raw_runs/2016.10a/IQFormerLite/seed4
2016.10a,full_lkf_k31,5,0.6297954545454545,0.3922314049586776,0.9182272727272728,results/table2_5seed_20260626/iqformer_vs_lite/raw_runs/2016.10a/IQFormerLite/seed5
2016.10b,full_lkf_k31,1,0.6544625,0.4217196969696969,0.93735,results/table2_5seed_20260626/iqformer_vs_lite/raw_runs/2016.10b/IQFormerLite/seed1
2016.10b,full_lkf_k31,2,0.6542458333333333,0.4214242424242424,0.9372416666666668,results/table2_5seed_20260626/iqformer_vs_lite/raw_runs/2016.10b/IQFormerLite/seed2
2016.10b,full_lkf_k31,3,0.6572,0.4259772727272727,0.9384333333333336,results/table2_5seed_20260626/iqformer_vs_lite/raw_runs/2016.10b/IQFormerLite/seed3
2016.10b,full_lkf_k31,4,0.653975,0.4207954545454546,0.9373666666666663,results/table2_5seed_20260626/iqformer_vs_lite/raw_runs/2016.10b/IQFormerLite/seed4
2016.10b,full_lkf_k31,5,0.6557375,0.424,0.9373166666666666,results/table2_5seed_20260626/iqformer_vs_lite/raw_runs/2016.10b/IQFormerLite/seed5
