dataset,variant_a,variant_b,delta_a_minus_b_pp,paired_delta_std_pp,ci95_low_pp,ci95_high_pp
2016.10a,conv_k3,conv_k31,-0.3163636363636346,0.2446767981178285,-0.6201700077823133,-0.012557264944955904
2016.10a,conv_k3,full_k31,-0.13636363636363225,0.3657290635619255,-0.5904762476852521,0.31774897495798765
2016.10b,conv_k3,conv_k31,2.9085833333333344,0.3131114296238758,2.5198041437432557,3.297362522923413
2016.10b,conv_k3,full_k31,2.575916666666669,0.35766463769228346,2.1318173626135666,3.020015970719771
