dataset,model,n,mean,std,min,max,mean_pm_std_percent
2016.10a,IQFormer,5,0.635990909090909,0.0011200649331826707,0.6350681818181818,0.6378181818181818,63.60 ± 0.11
2016.10a,IQFormerLite,5,0.6318136363636364,0.0022373034795271207,0.6297954545454545,0.6354318181818182,63.18 ± 0.22
2016.10b,IQFormer,5,0.6541966666666668,0.0018393188277185523,0.6520041666666667,0.6570125,65.42 ± 0.18
2016.10b,IQFormerLite,5,0.6551241666666666,0.0013430485895487671,0.653975,0.6572,65.51 ± 0.13
