SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
-20,0.1047222222222222,0.10625,0.1024444444444444,0.1039722222222222,0.1055833333333333,0.1055277777777777,0.1077222222222222,0.1068055555555555,0.1044722222222222,0.1045,0.1056944444444444,0.107,0.1060833333333333,0.1074722222222222,0.1065,0.1071111111111111,0.1095555555555555,0.1078888888888889,0.11025,0.1093333333333333,0.1098055555555555,0.1106111111111111,0.1118055555555555,0.1130277777777777,0.1136944444444444,0.1170833333333333,0.1167777777777777,0.1226111111111111,0.1208055555555555,0.1253055555555555,0.12766666666666668
-18,0.107,0.1079444444444444,0.11225,0.1106666666666666,0.1094722222222222,0.1103611111111111,0.1128333333333333,0.1118611111111111,0.1123333333333333,0.1130277777777777,0.1119166666666666,0.109,0.1121666666666666,0.1133055555555555,0.1126388888888888,0.1119722222222222,0.1136666666666666,0.1151666666666666,0.1166944444444444,0.1161944444444444,0.1175277777777777,0.1166944444444444,0.1175555555555555,0.1176388888888888,0.1201388888888888,0.1236388888888889,0.1249722222222222,0.1236666666666666,0.1307222222222222,0.1294444444444444,0.13233333333333333
-16,0.1136111111111111,0.1235277777777777,0.1225555555555555,0.1198055555555555,0.1206666666666666,0.1249444444444444,0.1241388888888888,0.1245555555555555,0.1235833333333333,0.1258888888888888,0.1236666666666666,0.1269166666666666,0.1290833333333333,0.1270555555555555,0.1269444444444444,0.1281944444444444,0.1295,0.1311388888888889,0.1297222222222222,0.1309722222222222,0.1315277777777777,0.1325555555555555,0.133,0.1347777777777777,0.1373055555555555,0.1419722222222222,0.1408888888888889,0.1453611111111111,0.14725,0.1491111111111111,0.1535277777777778
-14,0.1406944444444444,0.1516111111111111,0.1569444444444444,0.1596111111111111,0.1612777777777777,0.1609722222222222,0.1579166666666666,0.1641944444444444,0.1632222222222222,0.1619722222222222,0.1624722222222222,0.1618055555555555,0.1623055555555555,0.1654166666666666,0.1661388888888889,0.1655,0.1650277777777777,0.1645833333333333,0.1664444444444444,0.1674166666666666,0.1701666666666666,0.1714444444444444,0.16825,0.1723333333333333,0.1806388888888888,0.1780833333333333,0.1804722222222222,0.18275,0.1875555555555555,0.1918333333333333,0.19258333333333333
-12,0.1959166666666666,0.21075,0.2161944444444444,0.2194722222222222,0.2189444444444444,0.2174722222222222,0.2163055555555555,0.2166944444444444,0.2161944444444444,0.2170277777777777,0.22075,0.2193333333333333,0.2196111111111111,0.221,0.2239722222222222,0.2188888888888888,0.2256111111111111,0.2253055555555555,0.224,0.2278055555555555,0.22675,0.2261944444444444,0.2284722222222222,0.2338055555555555,0.2391111111111111,0.2396944444444444,0.24275,0.2416111111111111,0.2514444444444444,0.2509722222222222,0.24963888888888888
-10,0.2822222222222222,0.2966666666666667,0.2978888888888888,0.3016388888888889,0.3054444444444444,0.3040277777777778,0.3075277777777778,0.3069722222222222,0.3107777777777777,0.3118333333333333,0.31175,0.3148888888888889,0.3127222222222222,0.3135555555555555,0.3198333333333333,0.3166944444444444,0.3229166666666667,0.3175555555555555,0.3216111111111111,0.3243611111111111,0.3235833333333333,0.3248333333333333,0.3301944444444444,0.3283055555555556,0.3368055555555556,0.3401111111111111,0.3431944444444444,0.345,0.3531666666666667,0.3541666666666667,0.35441666666666666
-8,0.3736111111111111,0.3959722222222222,0.4113611111111111,0.4153611111111111,0.4233055555555555,0.4274444444444444,0.4297222222222222,0.4333055555555555,0.4373055555555555,0.4412777777777777,0.4375833333333333,0.4413611111111111,0.4441944444444444,0.4448611111111111,0.4467777777777778,0.45075,0.4528611111111111,0.4546388888888888,0.4551666666666666,0.4566111111111111,0.4588333333333333,0.4606944444444444,0.4585277777777777,0.4613333333333333,0.4706666666666667,0.4755,0.4765,0.4798611111111111,0.4868055555555555,0.4903611111111111,0.4915555555555556
-6,0.4847222222222222,0.5280833333333333,0.5559722222222222,0.5658888888888889,0.5776111111111111,0.5796111111111111,0.5806111111111111,0.5834166666666667,0.5918333333333333,0.5928333333333333,0.5930833333333333,0.5963888888888889,0.5979444444444444,0.6008055555555556,0.602,0.6076944444444444,0.6036388888888888,0.6088055555555556,0.6095555555555555,0.614,0.6139444444444444,0.6186944444444444,0.618,0.6196388888888889,0.6325277777777778,0.6338888888888888,0.636,0.6404722222222222,0.6517777777777778,0.6548888888888889,0.6554444444444445
-4,0.6078888888888889,0.6622777777777777,0.7016666666666667,0.71775,0.7291388888888889,0.7351111111111112,0.73925,0.7458888888888889,0.7484722222222222,0.7525555555555555,0.75275,0.7554444444444445,0.7574166666666666,0.7597777777777778,0.7611388888888889,0.7620555555555556,0.76425,0.767,0.7668055555555555,0.7723333333333333,0.773,0.7727222222222222,0.7760277777777778,0.7768333333333334,0.7906944444444445,0.7901666666666667,0.7925555555555556,0.7938333333333333,0.8025,0.8076388888888889,0.80875
-2,0.69075,0.7723333333333333,0.8211111111111111,0.8373611111111111,0.8462222222222222,0.8539444444444444,0.8549722222222222,0.8585277777777778,0.8615555555555555,0.8631388888888889,0.8654444444444445,0.8676111111111111,0.868,0.8696944444444444,0.8706388888888889,0.8715277777777778,0.8731666666666666,0.8748888888888889,0.8753055555555556,0.8769166666666667,0.8780833333333333,0.87825,0.8786388888888889,0.8799722222222223,0.8867777777777778,0.8878611111111111,0.8881388888888889,0.8881666666666667,0.8913888888888889,0.8929722222222222,0.8926388888888889
